HandRight.X;HandRight.Y;HandRight.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;HandLeft.X;HandLeft.Y;HandLeft.Z;ElbowLeft.X;ElbowLeft.Y;ElbowLeft.Z;
-0.05756866;-0.3718427;3.319108;0.09253508;-0.325697;3.54276;-0.09006958;-0.4277427;3.539369;-0.2035874;-0.37131;3.351619;-0.3012787;-0.3177903;3.559638;
-0.06182459;-0.369606;3.323401;0.09256122;-0.3256838;3.54275;-0.08997887;-0.4277703;3.539358;-0.1988111;-0.3693493;3.344198;-0.3002639;-0.3176135;3.558602;
-0.001543477;-0.4079351;3.331748;0.09866074;-0.3222182;3.551216;-0.08992377;-0.4277267;3.540169;-0.1964721;-0.3685336;3.334206;-0.300812;-0.3178122;3.559223;
-0.02962915;-0.4032198;3.306217;0.09864321;-0.3224216;3.552064;-0.08992654;-0.4277577;3.540202;-0.2044748;-0.3700871;3.345347;-0.3015027;-0.3179527;3.559244;
-0.04316533;-0.3599499;3.338405;0.0933181;-0.3249333;3.540608;-0.09018396;-0.4278119;3.540363;-0.1986084;-0.3694947;3.340055;-0.3009702;-0.3195386;3.557683;
-0.03952552;-0.3611442;3.34547;0.09283557;-0.3250097;3.54195;-0.08995803;-0.4277005;3.540424;-0.2085745;-0.3688812;3.350557;-0.3023136;-0.3167465;3.55903;
-0.0641488;-0.3675526;3.321916;0.09280352;-0.3245693;3.542729;-0.08997066;-0.4279575;3.539668;-0.1915153;-0.3676288;3.332004;-0.3029057;-0.3170086;3.559296;
-0.04708236;-0.3614625;3.350561;0.0945494;-0.3236868;3.544262;-0.08958471;-0.4278744;3.539482;-0.1926939;-0.3704043;3.337435;-0.3033168;-0.3172455;3.560301;
-0.0682005;-0.3727821;3.333806;0.09569182;-0.3236305;3.546479;-0.08945493;-0.4278765;3.539508;-0.1923616;-0.3705302;3.336906;-0.3035476;-0.3176334;3.560811;
-0.04247087;-0.3641553;3.354766;0.09325959;-0.3265844;3.539448;-0.08965262;-0.4280685;3.539395;-0.1907049;-0.3697627;3.333521;-0.3032468;-0.3198228;3.557656;
-0.04394536;-0.3980926;3.315754;0.09280575;-0.3253495;3.539351;-0.08947387;-0.4279984;3.539233;-0.1909696;-0.3703116;3.334864;-0.3032366;-0.3193583;3.557867;
-0.04054504;-0.3602737;3.354181;0.09335683;-0.3252288;3.538701;-0.0895663;-0.428422;3.539103;-0.1913532;-0.3706714;3.334617;-0.3039771;-0.3192621;3.558106;
-0.06185335;-0.3669408;3.327205;0.09361026;-0.3254389;3.539983;-0.08936423;-0.4284772;3.53888;-0.1905416;-0.3706754;3.333895;-0.3046196;-0.3176671;3.559516;
-0.04033784;-0.3608754;3.351963;0.0939622;-0.3247836;3.54035;-0.08923566;-0.428646;3.538656;-0.2017041;-0.3680545;3.348398;-0.3040494;-0.3168358;3.559901;
