HandRight.X;HandRight.Y;HandRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;;Hand Rechts;X [m];Y [m];Z [m]
-0.03362848;-0.1107248;3.382717;-0.1509575;-0.4451395;3.664686;0.0213017;-0.3372472;3.590491;;;;;
-0.02842356;-0.1475451;3.429103;-0.1508597;-0.4452975;3.66475;0.02306315;-0.3355472;3.595889;;;;;
-0.02719731;-0.1505253;3.429085;-0.1507749;-0.4457137;3.66467;0.02142019;-0.338411;3.590904;;;;;
-0.02677907;-0.1507089;3.432854;-0.1509043;-0.445894;3.664524;0.0228994;-0.3394333;3.587492;;;;;
-0.02719171;-0.1497724;3.432625;-0.1502317;-0.4435129;3.664336;0.01797549;-0.3449518;3.589718;;;;;
-0.02633246;-0.1511326;3.432877;-0.1498545;-0.4474365;3.663066;0.02219228;-0.3366934;3.589462;;;;;
-0.03551731;-0.1475077;3.372911;-0.1499078;-0.4474356;3.663065;0.02409044;-0.3374432;3.593611;;;;;
-0.02725563;-0.1538083;3.442526;-0.1498824;-0.447491;3.663163;0.029776;-0.332441;3.583789;;;;;
-0.02733153;-0.1537167;3.440424;-0.1500087;-0.4475562;3.663151;0.02604787;-0.3365816;3.584883;;;;;
-0.03378657;-0.1065642;3.408298;-0.1499444;-0.4475406;3.662973;0.0262346;-0.3335669;3.588446;;;;;
-0.02750918;-0.1463395;3.431479;-0.1502515;-0.4474602;3.662982;0.02344618;-0.3354004;3.587257;;;;;
-0.02923295;-0.146713;3.435546;-0.1502764;-0.4473443;3.663029;0.02225179;-0.3341016;3.58478;;;;;
-0.02980466;-0.1451822;3.435322;-0.1501112;-0.4470383;3.663126;0.02129672;-0.3345784;3.586896;;;;;
-0.02728407;-0.1097101;3.402418;-0.150134;-0.447758;3.663018;0.02292846;-0.3338665;3.587249;;;;;
-0.02784053;-0.1395042;3.426935;-0.1502063;-0.4476854;3.663012;0.02486993;-0.3380417;3.582308;;;;;
-0.03012672;-0.1130805;3.385681;-0.1491009;-0.4429197;3.664159;0.024773;-0.3372794;3.58275;;;;;
-0.02765201;-0.1546071;3.428812;-0.1489209;-0.4437454;3.664005;0.02466427;-0.3374391;3.583484;;;;;
-0.034418;-0.1081204;3.410029;-0.1496163;-0.4442955;3.663629;0.02883828;-0.3343369;3.588857;;;;;
-0.02668783;-0.1477192;3.426212;-0.1494394;-0.4410703;3.663838;0.02591346;-0.3375358;3.589632;;;;;
-0.02699829;-0.1482966;3.427176;-0.1491799;-0.4416853;3.663374;0.02262014;-0.3379472;3.584981;;;;;
-0.03401798;-0.1158583;3.39883;-0.1496841;-0.4425223;3.662744;0.02387995;-0.3368637;3.587218;;;;;
-0.0328194;-0.1175123;3.399297;-0.1500812;-0.4431699;3.662504;0.02504952;-0.337733;3.591954;;;;;
-0.03130898;-0.1136351;3.399245;-0.1503178;-0.4432221;3.662383;0.02610215;-0.3448062;3.595488;;;;;
-0.02800562;-0.1454386;3.423288;-0.1505719;-0.4433561;3.66238;0.0241241;-0.3471559;3.594282;;;;;
-0.03668351;-0.1140874;3.392938;-0.150609;-0.4436023;3.662239;0.02098817;-0.324958;3.595853;;;;;
-0.0278493;-0.1594078;3.381942;-0.1505724;-0.4372235;3.663555;0.02306203;-0.3289332;3.596906;;;;;
-0.02619659;-0.1553527;3.416764;-0.1510944;-0.4405381;3.662289;0.02488808;-0.3355477;3.586852;;;;;
-0.01539511;-0.1387326;3.380859;-0.151097;-0.4407945;3.662143;0.02297553;-0.3359305;3.58374;;;;;
-0.02376553;-0.1495823;3.418723;-0.1509118;-0.442316;3.662259;0.02200241;-0.3414683;3.584016;;;;;
-0.02370879;-0.1320368;3.389098;-0.1509618;-0.4423525;3.662214;0.0221678;-0.343476;3.58345;;;;;
-0.022284;-0.1326463;3.389337;-0.1499324;-0.4394456;3.661968;0.02157132;-0.3455551;3.583348;;;;;
-0.02299367;-0.1312767;3.389488;-0.1503202;-0.4400644;3.661792;0.0219107;-0.3466588;3.583815;;;;;
-0.03015138;-0.1259211;3.386125;-0.1506026;-0.4418965;3.660861;0.01912558;-0.3467661;3.582518;;;;;
-0.02922131;-0.1461298;3.417178;-0.1506239;-0.4427711;3.661191;0.01881311;-0.3392861;3.581783;;;;;
-0.03078261;-0.147317;3.421321;-0.1507877;-0.444299;3.66083;0.01897099;-0.3392791;3.581445;;;;;
