HandRight.X;HandRight.Y;HandRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;;Hand Rechts;X [m];Y [m];Z [m]
0.05334364;-0.4406009;3.575828;-0.0593342;-0.4164532;3.645606;0.1612706;-0.3058044;3.822888;;;;;
0.05235975;-0.4411034;3.574599;-0.0593988;-0.4171893;3.645226;0.1638698;-0.2982836;3.826434;;;;;
0.05564912;-0.437303;3.577379;-0.05908665;-0.4174321;3.645184;0.1612207;-0.2960695;3.820226;;;;;
0.06518612;-0.4507585;3.573436;-0.05843705;-0.4183502;3.644944;0.1637494;-0.3072843;3.812274;;;;;
0.06513859;-0.4491502;3.579255;-0.05796708;-0.4172043;3.645746;0.163733;-0.3062161;3.818434;;;;;
0.06651387;-0.4482826;3.580665;-0.05818777;-0.4189612;3.645697;0.1651817;-0.3055247;3.819931;;;;;
0.0822523;-0.4437114;3.568352;-0.0581006;-0.418944;3.645738;0.1646218;-0.3028218;3.815204;;;;;
0.07595143;-0.4552144;3.551632;-0.05775983;-0.4197891;3.64566;0.1580555;-0.3163007;3.799762;;;;;
0.09109591;-0.4601876;3.583303;-0.05776437;-0.4193355;3.645745;0.1720869;-0.3107699;3.825307;;;;;
0.06474449;-0.4554791;3.543904;-0.0576647;-0.4194185;3.645757;0.1493518;-0.3107863;3.787617;;;;;
0.09359972;-0.4370372;3.591952;-0.05769905;-0.4194158;3.645746;0.16602;-0.2832063;3.833889;;;;;
