HandRight.X;HandRight.Y;HandRight.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;
-0.3992781;-0.2910125;3.294153;-0.08198852;-0.3169686;3.310028;-0.1721852;-0.4220754;3.424953;
-0.3972396;-0.2930807;3.288561;-0.07973465;-0.318175;3.310594;-0.1725629;-0.4213589;3.424572;
-0.3980721;-0.3006233;3.27664;-0.07618028;-0.3166537;3.312205;-0.1738551;-0.4207392;3.423574;
-0.3974544;-0.3020052;3.273714;-0.07156131;-0.3140946;3.315666;-0.1739064;-0.4208243;3.423119;
-0.4020608;-0.3021364;3.27102;-0.07449115;-0.3156393;3.314401;-0.1741007;-0.4205416;3.422908;
-0.406306;-0.3011386;3.27012;-0.07343529;-0.3164596;3.314182;-0.1743381;-0.4206852;3.42274;
-0.4068266;-0.3009703;3.269048;-0.07542088;-0.3179655;3.313949;-0.174392;-0.4205126;3.42267;
-0.3886244;-0.3042645;3.267463;-0.07373843;-0.3194484;3.313474;-0.174724;-0.4203441;3.422588;
-0.38008;-0.2562896;3.277899;-0.07091126;-0.3216573;3.315502;-0.1745552;-0.420129;3.422421;
-0.3671455;-0.2516374;3.244543;-0.07032277;-0.3219641;3.314866;-0.1746982;-0.4199527;3.422539;
-0.4077812;-0.3085699;3.258016;-0.07099044;-0.3230727;3.312349;-0.1746827;-0.4198645;3.422557;
-0.3776031;-0.2753912;3.301738;-0.06571795;-0.3258469;3.313053;-0.1750143;-0.4196964;3.42264;
-0.3809167;-0.3174873;3.250019;-0.05629341;-0.3135197;3.327953;-0.1747271;-0.4196427;3.422651;
-0.3588199;-0.3367235;3.229584;-0.05521888;-0.3184254;3.324869;-0.1744071;-0.419971;3.422562;
-0.3534819;-0.3451892;3.220455;-0.05195551;-0.3192034;3.32629;-0.1733951;-0.4208498;3.422574;
-0.2992494;-0.357975;3.17992;-0.01553156;-0.3111525;3.351625;-0.1749271;-0.4212041;3.423126;
-0.2760624;-0.3816919;3.157817;-0.01750865;-0.3130327;3.354978;-0.1748677;-0.4211969;3.423144;
-0.2314259;-0.3847827;3.148189;-0.009383049;-0.3145646;3.362317;-0.1748291;-0.4214097;3.423716;
-0.1341053;-0.3850399;3.1519;0.0007928498;-0.3139;3.364659;-0.1751272;-0.4224296;3.424531;
-0.0547252;-0.3649482;3.181747;0.01094715;-0.3145677;3.374388;-0.1752985;-0.4223423;3.424857;
0.009761147;-0.3581891;3.151701;0.005985064;-0.321209;3.387859;-0.1753177;-0.4224876;3.425974;
0.0720045;-0.3593085;3.143949;-0.003750438;-0.3271864;3.40418;-0.1748918;-0.4227789;3.427123;
0.1225708;-0.3519024;3.130069;-0.001998549;-0.327683;3.404099;-0.1745189;-0.4223941;3.428114;
0.1907049;-0.3386794;3.174067;0.001700588;-0.3288735;3.408481;-0.1740218;-0.4224972;3.428901;
0.2699553;-0.2279796;3.224324;0.01566343;-0.3312755;3.409247;-0.1738823;-0.4226717;3.429274;
0.3444634;-0.2151207;3.34942;0.02430693;-0.3250454;3.41216;-0.1733263;-0.4225737;3.42946;
0.3393929;-0.1952742;3.395161;0.05760018;-0.3159044;3.407052;-0.1726908;-0.4228286;3.42977;
0.3362043;-0.1915248;3.440165;0.06144119;-0.3143693;3.414907;-0.1725323;-0.4223967;3.429743;
0.3261442;-0.1854454;3.441647;0.06572516;-0.3138622;3.421958;-0.1715172;-0.422441;3.429867;
0.3191022;-0.1780969;3.439834;0.06993168;-0.3146992;3.431038;-0.1713284;-0.4221866;3.430135;
0.3185031;-0.1792237;3.443753;0.07569979;-0.3165865;3.455381;-0.1708502;-0.4222704;3.430135;
0.3405413;-0.1770234;3.449817;0.07576281;-0.3172914;3.459013;-0.16991;-0.4224973;3.430066;
0.3362978;-0.1849899;3.447677;0.07441095;-0.3176083;3.465338;-0.1679944;-0.4216147;3.430361;
0.3616001;-0.1913393;3.428592;0.07563316;-0.3176543;3.467829;-0.1674484;-0.4218162;3.430402;
0.3714172;-0.2054423;3.377834;0.07552817;-0.3172405;3.467766;-0.1657181;-0.4212106;3.431237;
0.366114;-0.2218726;3.381443;0.07763322;-0.3198644;3.46645;-0.1649412;-0.4209901;3.431378;
0.3689893;-0.255929;3.371474;0.07766098;-0.3205746;3.466946;-0.1633759;-0.4208398;3.432494;
0.3722573;-0.2762378;3.357268;0.07829389;-0.3240031;3.466056;-0.1628722;-0.4207218;3.432604;
0.3720029;-0.2873039;3.351874;0.07823317;-0.3263471;3.466667;-0.1625544;-0.4207706;3.432683;
0.3705593;-0.298812;3.342718;0.07892672;-0.3282545;3.466482;-0.1619302;-0.4203495;3.432991;
0.372413;-0.2965311;3.346452;0.08020958;-0.3301657;3.467543;-0.161638;-0.4200659;3.433307;
0.3726199;-0.3007167;3.347954;0.08023752;-0.3306524;3.467967;-0.1614121;-0.4203907;3.433631;
0.3717224;-0.2751614;3.375101;0.08055378;-0.3308387;3.469062;-0.1611052;-0.4202289;3.433798;
0.3672644;-0.2630017;3.385648;0.08063769;-0.3287376;3.470407;-0.1609506;-0.4201975;3.433899;
