Hand.X;Hand.Y;Hand.Z;Ellbogen.X;Ellbogen.Y;Ellbogen.Z;Schulter.X;Schulter.Y;Schulter.Z
0.2468205;-0.1696053;3.267873;0.2198868;-0.1835488;3.601427;0.1804153;0.02604022;3.646486
0.2487531;-0.1740693;3.293566;0.2208004;-0.1837886;3.603349;0.1800767;0.02625615;3.646858
0.2367385;-0.186278;3.267794;0.2175697;-0.1921244;3.600895;0.1786266;0.02619871;3.647575
0.2453717;-0.1801782;3.282425;0.1968664;-0.1904249;3.573266;0.1780827;0.02574358;3.646286
0.2441743;-0.1801295;3.289929;0.2107136;-0.1845318;3.593642;0.1780945;0.02568201;3.646138
0.2457464;-0.1762047;3.26418;0.2126204;-0.183861;3.598519;0.1780974;0.02574602;3.646264
0.24559;-0.1757944;3.265948;0.2135654;-0.1840172;3.600154;0.1785625;0.02560542;3.64649
0.2450054;-0.1765998;3.292405;0.2136101;-0.1841302;3.601977;0.1785254;0.02559293;3.646602
0.246717;-0.1743722;3.293418;0.2118468;-0.1902213;3.586127;0.1787283;0.02565951;3.646475
0.2461902;-0.1740936;3.293264;0.2127879;-0.1909116;3.584516;0.1786802;0.02598942;3.646327
0.2513433;-0.1743684;3.234058;0.2148612;-0.188676;3.584591;0.178696;0.0260952;3.645626
0.2465276;-0.1747916;3.289257;0.2147638;-0.189422;3.583067;0.1791074;0.02634278;3.646271
0.2459199;-0.1734465;3.288351;0.2162624;-0.1876121;3.590716;0.1787608;0.02631972;3.645977
0.2455708;-0.1727279;3.288311;0.2022095;-0.2047991;3.580801;0.1787228;0.02621549;3.64604
0.2454823;-0.1726865;3.287628;0.2055963;-0.2026246;3.58619;0.1782673;0.02627468;3.645772
0.2453265;-0.1725795;3.286198;0.2061917;-0.1995597;3.588998;0.1780897;0.02603585;3.645648
0.2456944;-0.1720132;3.286841;0.214025;-0.1800268;3.579798;0.1792149;0.02623141;3.647274
0.2455222;-0.1732113;3.28417;0.2256704;-0.1771757;3.576854;0.1791033;0.02612133;3.647053
0.2439137;-0.1754877;3.294157;0.2258159;-0.1764788;3.577499;0.1794403;0.0267297;3.64799
0.2452474;-0.1734407;3.286227;0.2260388;-0.17682;3.577516;0.1793723;0.02639062;3.647384
0.2448277;-0.1736674;3.290158;0.2267103;-0.1767022;3.577329;0.1803;0.02636745;3.647807
